type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,25373,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429167069,0,100,0,128,0,"[0,0,3,-10,3,-11,3,-12,2,-11,2,-11,1,-10,1,-9,0,-8,-1,-7,-1,-5,-3,-5,-4,-4,-5,-3,-6,-2,-7,-3,-7,-3,-7,-2,-7,-3,-7,-4,-7,-5,-7,-6,-6,-6,-6,-8,-5,-9,-4,-11,-3,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,2,19,2,20,0,21,-1,21,-2,21,-3,21,-4,20,-4,18,-3,15,-2,14,-1,12,1,10,2,9,4,8,5,7,6,6,6,5,6,3,5,2,5,0,5,-2,4,-4,4,-6,4,-7,4,-9]"
CSI_DATA,25374,d0:15:a6:d5:17:16,-61,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429185685,0,100,0,128,0,"[0,0,6,8,6,8,7,8,7,8,7,7,7,6,6,5,5,4,5,3,4,1,3,0,3,-2,4,-3,4,-4,4,-4,5,-5,5,-5,5,-4,5,-4,6,-3,7,-3,8,-3,8,-2,9,0,10,2,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-7,-18,-9,-19,-11,-18,-12,-19,-13,-18,-14,-17,-15,-16,-14,-14,-13,-13,-12,-12,-10,-11,-8,-10,-6,-10,-4,-10,-2,-10,0,-9,1,-8,2,-7,2,-6,4,-4,4,-2,5,0,5,1,6,3,7,5,8]"
CSI_DATA,25375,d0:15:a6:d5:17:16,-61,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429199242,0,100,0,128,0,"[0,0,10,-5,10,-4,10,-6,10,-6,10,-6,8,-6,7,-5,6,-5,4,-5,2,-5,1,-5,-1,-5,-2,-5,-3,-6,-3,-6,-4,-7,-3,-7,-3,-7,-2,-8,-2,-8,-1,-8,0,-8,1,-9,2,-10,4,-11,7,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,15,-14,15,-15,14,-17,15,-18,13,-20,13,-19,11,-19,11,-17,9,-15,8,-13,8,-11,8,-9,8,-6,8,-4,8,-3,9,-2,9,-1,8,0,7,2,6,3,4,4,2,5,1,7,-1,8,-2,9,-3]"
CSI_DATA,25376,d0:15:a6:d5:17:16,-61,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429226513,0,100,0,128,0,"[0,0,-2,10,-2,11,-2,11,-2,11,-1,10,0,10,0,8,0,7,0,6,1,4,2,3,3,1,5,1,5,0,6,0,6,0,6,0,6,1,6,2,6,2,7,3,6,3,6,5,6,7,6,9,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-17,-7,-19,-6,-20,-5,-21,-4,-22,-3,-22,-1,-21,-1,-21,-1,-19,-1,-17,-2,-15,-3,-13,-4,-11,-5,-10,-6,-9,-7,-7,-7,-6,-7,-5,-7,-3,-6,-2,-5,0,-5,2,-4,4,-4,5,-3,8,-2,8]"
CSI_DATA,25377,d0:15:a6:d5:17:16,-61,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429241775,0,100,0,128,0,"[0,0,10,-5,11,-6,11,-6,11,-6,10,-6,9,-6,8,-6,6,-5,4,-5,3,-5,1,-4,-1,-5,-2,-5,-3,-6,-4,-6,-4,-6,-3,-6,-3,-7,-3,-7,-2,-8,-3,-8,-1,-8,0,-9,1,-10,3,-11,5,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,15,-15,15,-17,14,-19,13,-20,13,-20,12,-20,11,-19,10,-18,9,-16,8,-14,8,-12,7,-9,8,-7,8,-5,8,-4,9,-2,9,-1,8,0,7,1,5,2,4,4,2,5,1,7,-1,9,-3,9,-4]"
CSI_DATA,25378,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429259488,0,100,0,128,0,"[0,0,11,0,10,0,11,0,11,-1,11,-1,10,-1,8,-1,7,-2,5,-2,4,-2,3,-3,1,-4,0,-5,0,-6,0,-7,0,-7,0,-7,0,-8,0,-7,1,-7,1,-8,3,-8,4,-8,6,-8,8,-8,10,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,7,-19,6,-20,6,-22,5,-22,3,-23,2,-22,1,-21,1,-20,0,-18,0,-16,1,-14,2,-12,3,-10,4,-8,5,-7,6,-6,6,-5,6,-3,6,-2,5,0,4,2,3,4,3,6,2,8,2,9,1]"
CSI_DATA,25379,d0:15:a6:d5:17:16,-61,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429275270,0,100,0,128,0,"[0,0,-5,-10,-6,-11,-6,-10,-6,-10,-6,-10,-6,-9,-6,-8,-5,-6,-5,-5,-4,-3,-4,-2,-5,0,-5,1,-5,2,-6,2,-6,2,-7,3,-7,2,-7,2,-7,1,-8,1,-9,1,-9,0,-10,-2,-11,-4,-11,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,14,11,14,13,14,15,13,16,12,16,11,17,10,16,9,15,9,13,8,12,8,9,8,7,8,5,8,3,8,2,8,1,7,0,6,-1,5,-2,3,-4,1,-5,0,-5,-2,-8,-3,-8,-4,-9]"
CSI_DATA,25380,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429287277,0,100,0,128,0,"[0,0,-7,10,-6,10,-6,11,-6,10,-5,10,-5,10,-4,9,-3,7,-2,7,-1,5,1,4,2,3,4,3,5,2,5,3,6,3,6,3,6,3,6,4,6,4,6,5,6,6,5,7,5,9,4,11,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,2,-22,3,-22,5,-23,6,-23,8,-23,8,-22,9,-21,8,-19,7,-17,5,-16,4,-15,1,-13,-1,-12,-2,-11,-3,-10,-4,-9,-5,-8,-5,-6,-5,-4,-5,-3,-6,1,-5,2,-6,5,-6,7,-6,8]"
CSI_DATA,25381,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429310037,0,100,0,128,0,"[0,0,11,-1,11,-1,11,-2,11,-2,10,-2,9,-2,8,-2,7,-2,5,-3,4,-3,2,-3,1,-4,0,-5,-1,-6,-1,-6,-2,-7,-1,-7,-1,-7,-1,-7,-1,-8,0,-8,1,-8,2,-9,3,-9,5,-10,7,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,7,-18,6,-20,5,-21,4,-22,4,-22,3,-22,2,-21,1,-19,1,-18,1,-16,1,-14,2,-12,2,-10,4,-8,5,-7,5,-6,5,-4,6,-3,5,-1,5,0,4,3,2,4,2,6,1,8,1,10,0]"
CSI_DATA,25382,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429326702,0,100,0,128,0,"[0,0,11,1,11,1,11,1,11,0,11,0,10,-1,9,-1,7,-1,6,-2,4,-3,3,-3,2,-4,0,-5,0,-6,-1,-7,-1,-7,0,-7,0,-8,0,-8,0,-8,1,-8,2,-9,3,-9,5,-10,7,-10,9,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,4,-20,3,-22,2,-23,0,-23,-1,-23,-2,-22,-2,-22,-3,-20,-3,-18,-3,-16,-2,-14,0,-13,0,-11,2,-10,3,-8,4,-7,5,-5,5,-4,5,-2,4,0,4,2,3,4,3,6,2,8,2,10,2]"
CSI_DATA,25383,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429355615,0,100,0,128,0,"[0,0,-8,10,-7,10,-7,10,-6,10,-7,10,-6,9,-5,8,-4,7,-2,6,-1,5,0,4,1,3,3,2,4,2,5,3,6,3,5,3,6,3,6,4,6,4,5,6,5,6,5,7,5,9,4,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-19,6,-20,8,-21,9,-21,11,-21,11,-21,12,-20,12,-19,11,-17,10,-16,9,-15,6,-13,4,-12,3,-12,1,-11,-1,-10,-2,-9,-3,-8,-3,-6,-4,-4,-4,-2,-5,0,-6,2,-6,5,-7,6,-7,7]"
CSI_DATA,25384,d0:15:a6:d5:17:16,-60,11,1,7,0,0,1,0,1,0,1,-93,0,1,0,429385657,0,100,0,128,0,"[0,0,-11,0,-12,0,-12,0,-11,0,-12,1,-11,0,-9,0,-8,1,-6,1,-5,1,-3,2,-2,3,-1,4,0,5,0,5,0,6,0,6,0,6,0,6,-1,7,-1,7,-2,8,-3,9,-4,9,-6,10,-8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,-5,19,-4,19,-2,21,-1,21,0,22,1,21,2,20,2,18,2,16,2,15,0,13,-1,11,-2,10,-3,8,-4,7,-5,6,-6,4,-6,3,-6,1,-5,-1,-4,-3,-3,-5,-3,-7,-2,-8,-2,-10,-2]"
